id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd,uy,uc
7,1989,0,1,-.0125808,1,0,0,3,.5525081,.207376
7,1990,0,0,.0049225,1,-.3967569,1,3,.5574306,-.1893809
7,1991,0,0,-.1836194,1,.0469937,1,3,.3738112,-.1423872
7,1992,0,0,.0693865,1,.0373124,1,3,.4431978,-.1050748
8,1979,0,0,-.3191025,1,.0896033,1,3,.2951893,.210387
8,1980,0,0,.0495564,1,-.2896996,1,3,.3447457,-.0793126
8,1981,0,0,-.1896648,1,.2550766,1,3,.1550809,.1757641
8,1982,0,0,-.1640615,1,.5106117,1,3,-.0089806,.6863757
8,1983,0,0,.268919,1,-.5039501,1,3,.2599384,.1824256
8,1984,0,0,.0563053,1,.1971044,1,3,.3162436,.37953
8,1985,0,0,.1605703,1,.3558928,1,3,.4768139,.7354228
8,1986,0,0,-.1327095,1,-.1822243,1,3,.3441044,.5531985
8,1987,0,1,.4642945,1,0,0,3,.8083989,
8,1988,0,1,-.3606742,1,0,0,3,.4477247,
8,1989,0,1,-.1154336,1,0,0,3,.332291,.5056353
8,1990,0,0,-.1665558,1,-.3709493,1,3,.1657353,.134686
8,1991,0,0,-.0433617,1,.0937419,1,3,.1223736,.2284279
8,1992,0,0,.0801691,1,.2684749,1,3,.2025426,.4969028
9,1979,0,0,0,0,0,0,3,,
9,1980,0,0,0,0,0,0,3,,
9,1981,0,0,0,0,0,0,3,,
9,1982,0,0,0,0,0,0,3,,
9,1983,0,0,0,0,0,0,3,,
9,1984,0,0,0,0,0,0,3,,
9,1985,0,0,0,0,0,0,3,,
9,1986,0,0,0,0,0,0,3,,
9,1987,0,1,0,0,0,0,3,,
9,1988,0,1,0,0,0,0,3,-.5163726,
9,1989,0,1,.2168518,1,0,0,3,-.2995207,-1.039767
9,1990,0,0,.0177308,1,-.244723,1,3,-.28179,-1.28449
9,1991,0,0,-.0546263,1,.0298404,1,3,-.3364163,-1.25465
9,1992,0,0,-.1300898,1,-.0420796,1,3,-.4665061,-1.296729
10,1979,0,0,-.0559581,1,.4065453,1,3,-.0341398,.1353385
10,1980,0,0,-.0724009,1,-.3173679,1,3,-.1065407,-.1820294
10,1981,0,0,.0801219,1,-.1124201,1,3,-.0264187,-.2944495
10,1982,0,0,-.1129563,1,-.1507066,1,3,-.1393751,-.4451561
10,1983,0,0,-.0875409,1,.2702044,1,3,-.226916,-.1749518
10,1984,0,0,-.1166277,1,.0889805,1,3,-.3435438,-.0859713
10,1985,0,0,.0172815,1,-.2460332,1,3,-.3262623,-.3320045
10,1986,0,0,-.3332771,1,.3175707,1,3,-.6595394,-.0144338
10,1987,0,1,.6843017,1,0,0,3,.0247623,
10,1988,0,1,.0008395,1,0,0,3,.0256019,
10,1989,0,1,-.2515802,1,0,0,3,-.2259783,-.1409688
10,1990,0,0,.1732906,1,-.2407344,1,3,-.0526878,-.3817031
10,1991,0,0,-.1368016,1,.3109396,1,3,-.1894894,-.0707635
